Company Name,Address,Address2,City,Category Name,URL,Hiring,Jobs URL,Why NYC,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"675 Beech, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
680 Partners LLC',"'680 5th Avenue, 10th Floor'",' - ','New York',,,,,,10019,MANHATTAN,40.760703,-73.975634,5,4,104,1034532,1012690041,Midtown-Midtown South                                                      
72Lux',' - ',' - ',' - ',,,,,,,,,,,,,,,
72looks',' - ',' - ',' - ',,,,,,,,,,,,,,,
789 Group',' - ',' - ',' - ',,,,,,,,,,,,,,,
8 Path Solutions LLC',"'""226 W 78TH ST #2A",,,,,,,,,,,,,,,,,
"New York, NY 10024""'",'226 W 78TH ST #2A','New York','http://www.8pathsolutions.com/,,,,,,,,,,,,,,,
86shifts.com',' - ',' - ',' - ',,,,,,,,,,,,,,,
87AM','61 Broadway',' - ','New York',,,,,,10006,MANHATTAN,40.706995,-74.012335,1,1,13,1000808,1000210001,Battery Park City-Lower Manhattan                                          
89 Second Productions','1727 2nd Ave Apt 4FN',' - ','New York',,,,,,10128,MANHATTAN,40.780056,-73.950171,8,5,154,1048892,1015350022,Yorkville                                                                  
8coupons','116 W. 23rd St.','5th floor','New York',,,,,,10011,MANHATTAN,40.743218,-73.993562,4,3,91,1014802,1007980041,Hudson Yards-Chelsea-Flatiron-Union Square                                 
911 Cancer Fund',' - ',' - ',' - ',,,,,,,,,,,,,,,
9branding',"'419 lafayette street, 2nd floor'",' - ','New York',,,,,,10003,MANHATTAN,40.728789,-73.992344,2,2,57,1008773,1005440013,West Village                                                               
9mmedia','627 Broadway',' - ','New York',,,,,,10012,MANHATTAN,40.726058,-73.996255,2,1,5501,1008237,1005230044,West Village                                                               
"@60"" - The Height of Art'",' - ',' - ',' - ',,,,,,,,,,,,,,,
@Gallery',' - ',' - ',' - ',,,,,,,,,,,,,,,
A New Life In',' - ',' - ',' - ',,,,,,,,,,,,,,,
A Perfume Organic',' - ',' - ',' - ',,,,,,,,,,,,,,,
A Tribe Called Love',' - ',' - ',' - ',,,,,,,,,,,,,,,
"A V Therapeutics, inc.'",' - ',' - ',' - ',,,,,,,,,,,,,,,
A&B American Style',' - ',' - ',' - ',,,,,,,,,,,,,,,
A.H. COLLECTIBLES',' - ',' - ',' - ',,,,,,,,,,,,,,,
A022 Digital','181 York St 5B',' - ','Brooklyn',,,,,,11201,BROOKLYN ,40.701406,-73.983767,2,33,21,3398669,3000550045,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
"ABACEO, Inc.'",' - ',' - ',' - ',,,,,,,,,,,,,,,
ABLE Social','305 W 87th st',' - ','New York',,,,,,10024,MANHATTAN,40.789753,-73.977801,7,6,175,1033999,1012490127,Upper West Side                                                            
AC Lion','253 West 35th Street','15th Floor','New York',,,,,,10001,MANHATTAN,40.752289,-73.991612,5,3,109,1014423,1007850011,Midtown-Midtown South                                                      
AC Rattling',' - ',' - ',' - ',,,,,,,,,,,,,,,
ACCOMPANY',' - ',' - ',' - ',,,,,,,,,,,,,,,
ACE Group','711 Third Avenue','16th Floor','New York',,,,,,10017,MANHATTAN,40.752374,-73.973266,6,4,90,1037568,1013180001,Turtle Bay-East Midtown                                                    
ACE Innovative Networks','277 Broadway','807','New York',,,,,,10007,MANHATTAN,40.714349,-74.006172,1,1,21,1001635,1001490033,SoHo-TriBeCa-Civic Center-Little Italy                                     
ACE Portal Group','711 Third Avenue',' - ','New York',,,,,,10017,MANHATTAN,40.752374,-73.973266,6,4,90,1037568,1013180001,Turtle Bay-East Midtown                                                    
ACTIVITO',' - ',' - ',' - ',,,,,,,,,,,,,,,
AD60','68 Jay Street ','Unit 616','Brooklyn',,,,,,11201,BROOKLYN ,40.702763,-73.986681,2,33,21,3000090,3000400001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
ADANSALON',' - ',' - ',' - ',,,,,,,,,,,,,,,
ADORNIA',' - ',' - ',' - ',,,,,,,,,,,,,,,
ADRailUSA',' - ',' - ',' - ',,,,,,,,,,,,,,,
ADstruc','241 Centre Street','7th Floor','New York',,,,,,10013,MANHATTAN,40.720234,-73.998167,2,1,45,1007005,1004720019,SoHo-TriBeCa-Civic Center-Little Italy                                     
AF Productions',' - ',' - ',' - ',,,,,,,,,,,,,,,
AG Resume Revisions',' - ',' - ',' - ',,,,,,,,,,,,,,,
AGORIQUE',' - ',' - ',' - ',,,,,,,,,,,,,,,
AHALife','45 Bond St.',' - ','New York',,,,,,10012,MANHATTAN,40.726058,-73.992947,2,1,5502,1008433,1005290031,West Village                                                               
AIDS Ride South Africa',' - ',' - ',' - ',,,,,,,,,,,,,,,
"AIQ, Inc.'",' - ',' - ',' - ',,,,,,,,,,,,,,,
AIR-BRAIN',' - ',' - ',' - ',,,,,,,,,,,,,,,
Fituoso',' - ',' - ',' - ',,,,,,,,,,,,,,,
AKQA','175 Varick St.','10th Floor','New York',,,,,,10014,MANHATTAN,40.727392,-74.005517,2,3,37,1009754,1005800065,SoHo-TriBeCa-Civic Center-Little Italy                                     
"ALFY, Inc.'",'589 Eighth Avenue','20th Floor','New York',,,,,,10018,MANHATTAN,40.755155,-73.991319,4,3,115,1013646,1007620042,Clinton                                                                    
ALTANOVA Energy+Sustainability','11-05 44th Dr',' - ','Long Island City',,,,,,11101,QUEENS   ,40.748483,-73.949285,2,26,19,4005233,4004470021,Hunters Point-Sunnyside-West Maspeth                                       
AMA Animal Rescue',' - ',' - ',' - ',,,,,,,,,,,,,,,
AOL',"'770 Broadway, New York, NY 10003'",' - ',' - ',,,,,,,,,,,,,,,
APDS',' - ',' - ',' - ',,,,,,,,,,,,,,,
API Fortress',' - ',' - ',' - ',,,,,,,,,,,,,,,
APP âˆšâ€  GOGO',' - ',' - ',' - ',,,,,,,,,,,,,,,
ARI DEIN LLC',' - ',' - ',' - ',,,,,,,,,,,,,,,
ARTSTRAK',' - ',' - ',' - ',,,,,,,,,,,,,,,
ARTstor','151 East 61st Street',' - ','New York',,,,,,10065,MANHATTAN,40.763305,-73.966836,8,4,11402,1041980,1013960025,Upper East Side-Carnegie Hill                                              
ASAP Property Management',' - ',' - ',' - ',,,,,,,,,,,,,,,
ASM Global Ventures',' - ',' - ',' - ',,,,,,,,,,,,,,,
ASPECD Apparel',' - ',' - ',' - ',,,,,,,,,,,,,,,
ASTORIA FILMS',' - ',' - ',' - ',,,,,,,,,,,,,,,
ATMG (All Things Marvin Gaye)',' - ',' - ',' - ',,,,,,,,,,,,,,,
AUDUBON','3960 Broadway',' - ','New York',,,,,,10032,MANHATTAN,40.83976,-73.940705,12,10,251,1062993,1021240043,Washington Heights South                                                   
"AW Healthcare Management, Inc.'",' - ',' - ',' - ',,,,,,,,,,,,,,,
AaronDFashionGroup Inc',' - ',' - ',' - ',,,,,,,,,,,,,,,
Abacus','39 E 20th St','Fl 4','New York',,,,,,10003,MANHATTAN,40.738895,-73.989081,5,2,52,1016228,1008497501,Hudson Yards-Chelsea-Flatiron-Union Square                                 
AbbeyPost',' - ',' - ',' - ',,,,,,,,,,,,,,,
Abilitycapitalcredit',' - ',' - ',' - ',,,,,,,,,,,,,,,
Able Made',' - ',' - ',' - ',,,,,,,,,,,,,,,
Able Markets',' - ',' - ',' - ',,,,,,,,,,,,,,,
About.com',"'1500 Broadway, 6th Floor, New York, NY 10016'",' - ',' - ',,,,,,,,,,,,,,,
AbridgeME','457 W 17th St','11','New York',,,,,,10011,MANHATTAN,40.743742,-74.006027,4,3,83,1012545,1007150001,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Absent Cam',' - ',' - ',' - ',,,,,,,,,,,,,,,
Abwop.com',' - ',' - ',' - ',,,,,,,,,,,,,,,
Acadaca','636 Broadway #516',' - ','New York',,,,,,10012,MANHATTAN,40.726247,-73.996067,2,1,5502,1008213,1005220012,West Village                                                               
"AcceleWeb, Inc.'",' - ',' - ',' - ',,,,,,,,,,,,,,,
Acceleron Digital','131 Varick St #917',' - ','New York',,,,,,10013,MANHATTAN,40.725397,-74.005841,2,3,37,1009740,1005790030,SoHo-TriBeCa-Civic Center-Little Italy                                     
Accent Internet Group',' - ',' - ',' - ',,,,,,,,,,,,,,,
Accenture',"'1345 Avenue of the Americas, New York, NY 10105'",' - ','New York',,,,,,10105,MANHATTAN,40.762605,-73.97846,5,4,137,1083719,1010070029,Midtown-Midtown South                                                      
Accern',' - ',' - ',' - ',,,,,,,,,,,,,,,
Accomplsh',' - ',' - ',' - ',,,,,,,,,,,,,,,
Accretive technologies',' - ',' - ',' - ',,,,,,,,,,,,,,,
Acme Railways',' - ',' - ',' - ',,,,,,,,,,,,,,,
Acorn',' - ',' - ',' - ',,,,,,,,,,,,,,,
Acquaintable',' - ',' - ','New York',,,,,,,,,,,,,,,
Acquity Group (acquired by Accenture)','636 6th Ave Suite 300',' - ','New York',,,,,,10011,MANHATTAN,40.740567,-73.99449,5,3,54,1015460,1008217506,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Action Enable Networks',' - ',' - ',' - ',,,,,,,,,,,,,,,
"Activation, Inc.'",' - ',' - ',' - ',,,,,,,,,,,,,,,
Activore',' - ',' - ',' - ',,,,,,,,,,,,,,,
ActorPerks',' - ',' - ',' - ',,,,,,,,,,,,,,,
ActvContent',' - ',' - ',' - ',,,,,,,,,,,,,,,
Ad Nibble',' - ',' - ',' - ',,,,,,,,,,,,,,,
AdColony','175 Varick',' - ','New York',,,,,,,,,,,,,,,
AdRadar','252 West 37th Street',' - ','New York',,,,,,10018,MANHATTAN,40.753514,-73.990728,5,3,109,1014452,1007860076,Midtown-Midtown South                                                      
AdStack [acquired by TellApart]',"'""155 Water Street /257 Myrtle Road",,,,,,,,,,,,,,,,,
"Burlingame, CA 94010""'",'2','Brooklyn','http://adstack.com/ http://www.tellapart.com/company/,,,,,,,,,,,,,,,
